text,afirmacion
Es cierto,1
Indudablemente,1
Sin duda,1
Es innegable,1
Es verdad,1
Así es,1
No hay discusión al respecto,1
Totalmente de acuerdo,1
Absolutamente,1
Correcto,1
Sin lugar a dudas,1
Por supuesto,1
De hecho,1
Es evidente,1
No cabe duda,1
Exactamente,1
Así es como lo veo,1
Estoy de acuerdo contigo,1
Sin ninguna sombra de duda,1
Eso está claro,1
No es cierto,0
De ninguna manera,0
No estoy de acuerdo,0
Es falso,0
No es así,0
Eso no es correcto,0
No estoy convencido,0
No estoy seguro de eso,0
No es verdad,0
No lo creo,0
No es posible,0
No estoy de acuerdo en absoluto,0
No veo las cosas de esa manera,0
Eso es incorrecto,0
No es así como lo veo,0
No estoy de acuerdo contigo en absoluto,0
No estoy conforme,0
No estoy convencido de eso,0
No me suena correcto,0
No estoy seguro de que sea así,0
¿Podrías por favor brindarme tu ayuda?,1
¿Serías tan amable de ayudarme con esto?,1
¿Podrías guiarme un poco en este asunto?,1
¿Me podrías echar una mano con esto?,1
¿Puedo contar contigo para obtener ayuda?,1
¿Te importaría asistirme con este problema?,1
¿Serías tan amable de prestarme tu ayuda?,1
¿Podrías darme orientación sobre cómo abordar esto?,1
¿Serías tan amable de compartir tu experiencia para ayudarme?,1
¿Podrías dedicar un momento para ayudarme?,1
¿Me podrías ofrecer tu consejo sobre esto?,1
¿Serías tan gentil de proporcionarme algún recurso para resolverlo?,1
¿Podrías por favor darme alguna sugerencia al respecto?,1
¿Podrías explicarme cómo hacer esto?,1
¿Podrías darme tu opinión sobre cómo proceder?,1
¿Podrías prestarme tu atención un momento para ayudarme?,1
¿Podrías colaborar conmigo en este asunto?,1
¿Serías tan gentil de asistirme con este problema?,1
¿Podrías por favor resolver esta duda que tengo?,1
¿Serías tan amable de prestarme asistencia con esto?,1
"Gracias, pero puedo manejarlo por mi cuenta.",0
"No te preocupes, puedo resolverlo solo.",0
"Aprecio tu ofrecimiento, pero creo que puedo arreglármelas solo.",0
"Gracias, pero no quiero incomodarte.",0
"Lo aprecio, pero prefiero intentarlo yo mismo primero.",0
"No quiero causarte problemas, puedo solucionarlo solo.",0
"Gracias, pero creo que puedo encontrar una solución por mi cuenta.",0
"Prefiero intentar resolver esto sin ayuda externa, gracias de todos modos.",0
"No quiero molestarte, puedo manejarlo por mí mismo.",0
"Gracias por ofrecer tu ayuda, pero estoy bien.",0
"No necesito ayuda en este momento, pero gracias de todos modos.",0
"Agradezco tu disposición, pero prefiero intentarlo solo.",0
"Gracias, pero realmente necesito resolver esto por mi cuenta.",0
"Prefiero tratar de resolverlo por mí mismo, pero gracias de todos modos.",0
"No quiero depender de nadie más, puedo hacerlo solo.",0
"Lo siento, pero prefiero abordar esto en solitario.",0
"Gracias por ofrecerte, pero creo que puedo manejarlo solo.",0
"No necesito ayuda en este momento, pero gracias por preguntar.",0
"Prefiero intentarlo por mí mismo antes de pedir ayuda, gracias de todos modos.",0
"Gracias por tu disposición, pero estoy bien por ahora.",0
¿Podrías proporcionarme más información sobre esto?,1
¿Tienes detalles adicionales sobre este tema?,1
¿Me podrías explicar más detalladamente?,1
¿Podrías aclararme algunas dudas al respecto?,1
¿Puedes ampliar la información sobre eso?,1
¿Me podrías dar más contexto sobre este asunto?,1
¿Serías tan amable de compartir más detalles?,1
¿Tienes más información que puedas proporcionarme?,1
¿Podrías ofrecerme más detalles sobre lo que mencionaste?,1
¿Puedes proporcionarme datos adicionales sobre este tema?,1
¿Me podrías dar más información para entender mejor?,1
¿Podrías especificar más sobre eso?,1
¿Tienes algún documento o referencia que pueda consultar?,1
¿Me podrías orientar sobre dónde puedo encontrar más información?,1
¿Podrías recomendarme alguna fuente confiable para investigar más?,1
¿Serías tan amable de explicarme más sobre esto?,1
¿Puedes detallar un poco más sobre lo que mencionaste?,1
¿Podrías darme más información para tomar una decisión informada?,1
¿Me podrías decir dónde puedo encontrar más detalles sobre este tema?,1
¿Serías tan gentil de proporcionarme más información al respecto?,1
"Lamentablemente, no tengo esa información.",0
"Lo siento, pero no estoy al tanto de eso.",0
No tengo la información que estás buscando.,0
No puedo proporcionarte más detalles en este momento.,0
No tengo acceso a esa información en este momento.,0
