text,recomen_cat,target
las mas buscadas,crticica,0.0
las mas rateadas,crticica,0.0
mejor rating,crticica,0.0
mejor critica,crticica,0.0
mas valoradas,crticica,0.0
aclamada,crticica,0.0
buenas criticas,crticica,0.0
altas calificaciones,crticica,0.0
expertos,crticica,0.0
elogios,crticica,0.0
destacado,crticica,0.0
especializados,crticica,0.0
criticos,crticica,0.0
calidad,crticica,0.0
reconocimiento,crticica,0.0
premiado,crticica,0.0
sobresaliente,crticica,0.0
alabada,crticica,0.0
puntuacion,crticica,0.0
elevada,crticica,0.0
reseñas,crticica,0.0
guion,crticica,0.0
favorables,crticica,0.0
excelente,crticica,0.0
pureza,crticica,0.0
positivo,crticica,0.0
exito taquilla,pop,1.0
mucha audiencia,pop,1.0
rompe records,pop,1.0
recaudacion,pop,1.0
gran exitos,pop,1.0
todo el mundo,pop,1.0
exitoso en el mundo,pop,1.0
pop,pop,1.0
multitudes,pop,1.0
fenomenos,pop,1.0
globales,pop,1.0
millones,pop,1.0
miles,pop,1.0
gran publico,pop,1.0
reonocida,pop,1.0
enormes,pop,1.0
mucho dinero,pop,1.0
muchas vistas,pop,1.0
destacado,pop,1.0
no dan abasto,pop,1.0
sobresaturado,pop,1.0
mas conocidas,pop,1.0
muy vista,pop,1.0
reventar,pop,1.0
producciones masivas,pop,1.0
montones,pop,1.0
recientemente,recientes,2.0
ultimos dias,recientes,2.0
recien estrenado,recientes,2.0
lanzado ultimamente,recientes,2.0
ultimo estreno,recientes,2.0
gran estreno,recientes,2.0
actuales,recientes,2.0
boca de todos,recientes,2.0
salas saturadas,recientes,2.0
carteleras,recientes,2.0
en cines,recientes,2.0
muchos cines,recientes,2.0
es tendencia,recientes,2.0
mucha gente,recientes,2.0
redes sociales,recientes,2.0
debutado,recientes,2.0
este año,recientes,2.0
acaba de salir,recientes,2.0
justo salio,recientes,2.0
netlfix,recientes,2.0
hbo max,recientes,2.0
disney,recientes,2.0
salio hoy,recientes,2.0
sale mañana,recientes,2.0
en la madrugada,recientes,2.0
aquí no ha salido,recientes,2.0
direccion,culto,3.0
cinematografico,culto,3.0
septimo arte,culto,3.0
arte,culto,3.0
cinefilo,culto,3.0
teatros,culto,3.0
igual a los libros,culto,3.0
de culto,culto,3.0
culto,culto,3.0
sobresaliente,culto,3.0
diferente,culto,3.0
no comparacion,culto,3.0
no hay igual,culto,3.0
seguidores devotos,culto,3.0
clasicos de cine,culto,3.0
cine,culto,3.0
obra de arte,culto,3.0
infravalorado,culto,3.0
singularidad,culto,3.0
legendaria,culto,3.0
buena reputacion,culto,3.0
muy apasionado,culto,3.0
underground,culto,3.0
joya,culto,3.0
gema,culto,3.0
subestimada,culto,3.0
comedias,genero,4.0
terror,genero,4.0
suspenos,genero,4.0
miedo,genero,4.0
gritos,genero,4.0
emocion,genero,4.0
accion,genero,4.0
romance,genero,4.0
romatico,genero,4.0
enamorado,genero,4.0
drama,genero,4.0
risas,genero,4.0
rerir,genero,4.0
noche oscuridad,genero,4.0
ciencia,genero,4.0
ficcion,genero,4.0
vida real,genero,4.0
documentales,genero,4.0
aliens,genero,4.0
zombies,genero,4.0
futurista,genero,4.0
super heroes,genero,4.0
fuera de la tierra,genero,4.0
animadas,genero,4.0
vaqueros,genero,4.0
aventuras,genero,4.0
cualquiera,owner,5.0
la que sea,owner,5.0
la que quieras,owner,5.0
tu quieras,owner,5.0
no me decido,owner,5.0
como quieras,owner,5.0
hazlo por mi ,owner,5.0
da igual cual sea,owner,5.0
no me importa cual,owner,5.0
como me digas,owner,5.0
tu consideracion,owner,5.0
tus gustos,owner,5.0
lo que a ti te gusta,owner,5.0
sorprendeme,owner,5.0
iluminame,owner,5.0
una buena,owner,5.0
una chingona,owner,5.0
una buenisima,owner,5.0
como tu veas,owner,5.0
tu sugiere,owner,5.0
tu mandas,owner,5.0
tu decide,owner,5.0
tu hazlo,owner,5.0
cualquiera que tu,owner,5.0
yo no estoy seguro,owner,5.0
para mi cualquiera,owner,5.0
similares a este,similitud,6.0
de mi gusto ,similitud,6.0
para mi gusto,similitud,6.0
lo que a me encanta,similitud,6.0
lo que yo veo ,similitud,6.0
a mi me gustan,similitud,6.0
a nosotros nos gusta,similitud,6.0
que se parezca,similitud,6.0
que sea igual a ,similitud,6.0
que sea como ,similitud,6.0
igualito a,similitud,6.0
muy parecido a ,similitud,6.0
que trate lo mismo,similitud,6.0
sea de lo mismo,similitud,6.0
identico a,similitud,6.0
sean iguales,similitud,6.0
que sea copia ,similitud,6.0
mismito a ,similitud,6.0
yo prefiero las,similitud,6.0
preferiria mis,similitud,6.0
una para mi ,similitud,6.0
personalizada,similitud,6.0
me recomiendas a mi,similitud,6.0
hecho para mi,similitud,6.0
son para mi,similitud,6.0
me la hicieron,similitud,6.0
¿Quieres ver una película con críticas estelares?,crticica,0.0
¿Te gustaría ver una película aclamada por los críticos?,crticica,0.0
